TIME, N5_UZ, N5_AZ, N6_UZ, N6_AZ, N7_UZ, N7_AZ
0.156, -4.658731446E-07, -3.73331112E-03, 3.966886989E-07, -1.989234741E-02, -4.888733919E-07, 1.156064863E-02
0.157, -4.880717469E-07, 1.257742899E-02, 3.598665634E-07, -1.441113461E-02, -4.784103255E-07, 1.280771183E-02
0.158, -4.935037505E-07, 2.095593432E-02, 3.081640016E-07, -1.534966855E-02, -4.534186057E-07, 1.624953411E-02
0.159, -4.788851653E-07, 1.914533276E-02, 2.429010208E-07, -1.177132962E-02, -4.075759347E-07, 2.545228519E-02
0.16, -4.432145298E-07, 2.295854097E-02, 1.718986146E-07, 2.924256922E-04, -3.306941003E-07, 3.662607421E-02
0.161, -3.73384147E-07, 4.53607159E-02, 1.031083613E-07, 4.132135515E-03, -2.151948716E-07, 4.060886064E-02
0.162, -2.473471418E-07, 6.70527794E-02, 3.0837346E-08, -1.109343787E-02, -6.225647252E-08, 3.42695922E-02
0.163, -5.956493235E-08, 5.643818337E-02, -6.119789057E-08, -2.843516937E-02, 1.190512343E-07, 2.246904846E-02
0.164, 1.646126238E-07, 1.635269623E-02, -1.807324598E-07, -2.656381007E-02, 3.158110926E-07, 8.435285186E-03
0.165, 3.881018388E-07, -1.772970975E-02, -3.194219572E-07, -1.174605885E-02, 5.120384675E-07, -9.500185487E-03
0.166, 5.908345135E-07, -2.378373992E-02, -4.662561891E-07, -4.543209457E-03, 6.883628293E-07, -3.030583475E-02
0.167, 7.756769067E-07, -1.19969028E-02, -6.173633699E-07, -4.002720162E-03, 8.261015155E-07, -4.686562741E-02
0.168, 9.530921401E-07, -2.857273314E-03, -7.665673529E-07, 7.80886793E-03, 9.136386116E-07, -5.353768896E-02
0.169, 1.124475689E-06, -9.205853607E-03, -8.968511218E-07, 3.003154559E-02, 9.481789708E-07, -5.245584311E-02
0.17, 1.275495815E-06, -3.152083443E-02, -9.913035481E-07, 4.163141699E-02, 9.320670738E-07, -4.884867462E-02
0.171, 1.384485108E-06, -5.254101658E-02, -1.046105311E-06, 3.767002357E-02, 8.695325559E-07, -4.399659287E-02
0.172, 1.441163516E-06, -5.208110345E-02, -1.063060699E-06, 3.80225084E-02, 7.667709382E-07, -3.645764819E-02
0.173, 1.451572426E-06, -4.045782621E-02, -1.034687334E-06, 5.263485642E-02, 6.32203567E-07, -2.715386182E-02
0.174, 1.416982074E-06, -4.954025098E-02, -9.473893031E-07, 6.521466396E-02, 4.744219706E-07, -1.927455016E-02
0.175, 1.318211393E-06, -7.882034617E-02, -7.962297803E-07, 6.250851439E-02, 3.000201222E-07, -1.396592787E-02
0.176, 1.135659976E-06, -8.874166415E-02, -5.864376219E-07, 5.475669077E-02, 1.139697924E-07, -9.331043952E-03
0.177, 8.777801909E-07, -6.19154528E-02, -3.233643458E-07, 5.180549061E-02, -7.842945E-08, -3.366805289E-03
0.178, 5.752435231E-07, -2.739812973E-02, -1.407477317E-08, 4.062735903E-02, -2.700008774E-07, 5.0223989E-03
0.179, 2.547258965E-07, -8.563579548E-03, 3.196372805E-07, 8.217877172E-03, -4.51028753E-07, 1.606467462E-02
0.18, -6.763841797E-08, 4.870133364E-03, 6.428457216E-07, -2.922524661E-02, -6.106507098E-07, 2.674720155E-02
0.181, -3.789501552E-07, 1.72351166E-02, 9.287266498E-07, -4.543016344E-02, -7.414228246E-07, 3.095260496E-02
0.182, -6.753583569E-07, 1.257228235E-02, 1.17085993E-06, -4.206524012E-02, -8.437744252E-07, 2.588853276E-02
0.183, -9.668262505E-07, -2.691725045E-03, 1.37026462E-06, -4.339171911E-02, -9.244820675E-07, 1.73993614E-02
0.184, -1.257038437E-06, 5.20262449E-03, 1.518705909E-06, -5.853495818E-02, -9.889116267E-07, 1.515667214E-02
0.185, -1.52417599E-06, 4.094645766E-02, 1.601750243E-06, -7.22591089E-02, -1.034510845E-06, 2.250390264E-02
0.186, -1.737847786E-06, 6.598550116E-02, 1.611366645E-06, -7.459688153E-02, -1.051402566E-06, 3.491107072E-02
0.187, -1.888817323E-06, 5.941936355E-02, 1.545597036E-06, -7.617503643E-02, -1.027111725E-06, 4.745407174E-02
0.188, -1.985465163E-06, 4.922378097E-02, 1.39986555E-06, -8.374867097E-02, -9.500756682E-07, 5.803639047E-02
0.189, -2.025467865E-06, 6.406611846E-02, 1.171694092E-06, -8.11315692E-02, -8.123021952E-07, 6.343853906E-02
0.19, -1.986120722E-06, 9.463355156E-02, 8.769494971E-07, -5.201507214E-02, -6.135662951E-07, 5.848647671E-02
0.191, -1.84036604E-06, 0.118181722, 5.516268564E-07, -9.141000312E-03, -3.646818345E-07, 4.181077607E-02
0.192, -1.57370968E-06, 0.12362189, 2.312973913E-07, 1.912769496E-02, -8.531125969E-08, 1.916147115E-02
0.193, -1.193276714E-06, 0.103931694, -6.670590154E-08, 2.552485421E-02, 2.028892537E-07, -1.50166153E-03
0.194, -7.305882107E-07, 6.057960227E-02, -3.390906231E-07, 2.571224155E-02, 4.819111394E-07, -1.685565906E-02
0.195, -2.293286058E-07, 1.656239888E-02, -5.855293463E-07, 2.617979416E-02, 7.380594347E-07, -2.889154006E-02
0.196, 2.758387425E-07, -8.747176243E-03, -8.101444493E-07, 1.746763518E-02, 9.598852421E-07, -3.975344693E-02
0.197, 7.619516196E-07, -2.93616234E-02, -1.024257171E-06, 3.537071307E-03, 1.137381091E-06, -4.890650113E-02
0.198, 1.201218885E-06, -6.432938439E-02, -1.23292149E-06, 7.359350255E-03, 1.261972831E-06, -5.690171473E-02
0.199, 1.56070258E-06, -9.523806779E-02, -1.421056013E-06, 3.370006119E-02, 1.324855661E-06, -6.651606716E-02
0.2, 1.826642739E-06, -9.18495495E-02, -1.564808277E-06, 5.506475619E-02, 1.316742059E-06, -7.547685079E-02
0.201, 2.013163671E-06, -6.698890174E-02, -1.654209524E-06, 5.3637547E-02, 1.233834756E-06, -7.411075343E-02
0.202, 2.136891407E-06, -5.859708396E-02, -1.691707415E-06, 5.016895204E-02, 1.085480867E-06, -5.678261659E-02
0.203, 2.197857114E-06, -6.692695727E-02, -1.670240614E-06, 6.776012122E-02, 8.930884381E-07, -3.129447113E-02
0.204, 2.193706993E-06, -6.330501152E-02, -1.568915908E-06, 9.195582904E-02, 6.798379839E-07, -1.042145609E-02
0.205, 2.133029614E-06, -4.974944582E-02, -1.373828421E-06, 9.557010532E-02, 4.626421337E-07, 2.530738699E-03
0.206, 2.022387456E-06, -5.017982349E-02, -1.090580827E-06, 8.075019897E-02, 2.528757159E-07, 1.232813103E-02
0.207, 1.858711801E-06, -5.588732244E-02, -7.350839101E-07, 6.374841211E-02, 5.885043841E-08, 1.915421829E-02
0.208, 1.645650359E-06, -4.288456485E-02, -3.2814525E-07, 3.91352984E-02, -1.166633961E-07, 1.786880125E-02
0.209, 1.395946403E-06, -3.040014332E-02, 9.599487135E-08, -4.732119887E-03, -2.785321535E-07, 9.421399148E-03
0.21, 1.1037571E-06, -5.45699559E-02, 4.925594317E-07, -5.041920803E-02, -4.346409419E-07, 2.098465678E-03
0.211, 7.370982848E-07, -9.436926473E-02, 8.299415277E-07, -6.794621577E-02, -5.894733481E-07, 4.542300292E-04
0.212, 2.758827709E-07, -9.474491765E-02, 1.103529374E-06, -5.964243851E-02, -7.426990899E-07, 2.759068388E-03
